Effect,Dx_desc,chapter,outcome,OddsRatioEst,LowerCL,UpperCL,impute_flag
PDx_S30toS39,"Injuries to the abdomen, lower back, lumbar spine and pelvis",Chp19_PDx,COMGENCategory_Num,1.48631,0.9163,2.31217,0
PDx_S20toS29,Injuries to the thorax,Chp19_PDx,COMGENCategory_Num,1.17215,0.44506,2.74414,0
PDx_S10toS19,Injuries to the neck,Chp19_PDx,COMGENCategory_Num,1.3566,0.64141,2.61562,0
PDx_S00toS09,Injuries to the head,Chp19_PDx,COMGENCategory_Num,1.37326,1.20785,1.55652,0
PDx_Q80toQ89,Other congenital malformations,Chp17_PDx,COMGENCategory_Num,0.84252,0.38437,1.66362,0
PDx_Q65toQ79,Congenital malformations and deformations of the musculoskeletal system,Chp17_PDx,COMGENCategory_Num,1.2019,0.74613,1.85521,0
PDx_Q60toQ64,Congenital malformations of the urinary system,Chp17_PDx,COMGENCategory_Num,1.00793,0.27013,3.54382,0
PDx_Q50toQ56,Congenital malformations of genital organs,Chp17_PDx,COMGENCategory_Num,1.29234,0.81515,1.97064,0
PDx_Q38toQ45,Other congenital malformations of the digestive system,Chp17_PDx,COMGENCategory_Num,1.57675,1.22451,2.00515,0
PDx_Q30toQ34,Congenital malformations of the respiratory system,Chp17_PDx,COMGENCategory_Num,1.1543,0.52955,2.28599,0
PDx_Q10toQ18,"Congenital malformations of eye, ear, face and neck",Chp17_PDx,COMGENCategory_Num,1.35422,0.94486,1.89091,0
PDx_P90toP96,Other disorders originating in the perinatal period,Chp16_PDx,COMGENCategory_Num,0.95081,0.47838,1.74454,0
PDx_P80toP83,Conditions involving the integument and temperature regulation of fetus and newborn,Chp16_PDx,COMGENCategory_Num,1.29591,0.76398,2.1063,0
PDx_P75toP78,Digestive system disorders of fetus and newborn,Chp16_PDx,COMGENCategory_Num,1.07576,0.28084,3.97103,0
PDx_P70toP74,Transitory endocrine and metabolic disorders specific to fetus and newborn,Chp16_PDx,COMGENCategory_Num,1.03649,0.2737,3.75088,0
PDx_P50toP61,Haemorrhagic and haematological disorders of fetus and newborn,Chp16_PDx,COMGENCategory_Num,0.83419,0.238,2.7132,0
PDx_P35toP39,Infections specific to the perinatal period,Chp16_PDx,COMGENCategory_Num,1.00793,0.26894,3.58428,0
PDx_P20toP29,Respiratory and cardiovascular disorders specific to the perinatal period,Chp16_PDx,COMGENCategory_Num,1.25902,0.50813,2.7965,0
PDx_P10toP15,Birth trauma,Chp16_PDx,COMGENCategory_Num,1.13288,0.28917,4.32089,0
PDx_P05toP08,Disorders related to length of gestation and fetal growth,Chp16_PDx,COMGENCategory_Num,1.12693,0.28798,4.28519,0
PDx_P00toP04,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Chp16_PDx,COMGENCategory_Num,1.07219,0.27965,4.01982,0
PDx_N99toN99,Other disorders of genitourinary tract,Chp14_PDx,COMGENCategory_Num,0.7259,0.21658,2.19317,0
PDx_N80toN98,Noninflammatory disorders of female genital tract,Chp14_PDx,COMGENCategory_Num,0.72828,0.21896,2.16342,0
PDx_N70toN77,Inflammatory diseases of female pelvic organs,Chp14_PDx,COMGENCategory_Num,0.61166,0.19278,1.72788,0
PDx_N60toN64,Disorders of breast,Chp14_PDx,COMGENCategory_Num,1.06862,0.37366,2.73462,0
PDx_N40toN51,Diseases of male genital organs,Chp14_PDx,COMGENCategory_Num,1.24236,1.03292,1.48274,0
PDx_N30toN39,Other diseases of urinary system,Chp14_PDx,COMGENCategory_Num,1.37921,1.13169,1.666,0
PDx_N25toN29,Other disorders of kidney and ureter,Chp14_PDx,COMGENCategory_Num,0.76636,0.2261,2.31336,0
PDx_N20toN23,Urolithiasis,Chp14_PDx,COMGENCategory_Num,1.50535,0.41769,5.02775,0
PDx_N17toN19,Renal failure,Chp14_PDx,COMGENCategory_Num,1.04601,0.27608,3.76873,0
PDx_N10toN16,Renal tubulo-interstitial diseases,Chp14_PDx,COMGENCategory_Num,0.87584,0.47124,1.51249,0
PDx_N00toN08,Glomerular diseases,Chp14_PDx,COMGENCategory_Num,1.12812,0.48671,2.38952,0
PDx_M91toM94,Chondropathies,Chp13_PDx,COMGENCategory_Num,1.18762,0.40341,3.15588,0
PDx_M86toM90,Other osteopathies,Chp13_PDx,COMGENCategory_Num,0.90321,0.42483,1.74335,0
PDx_M80toM85,Disorders of bone density and structure,Chp13_PDx,COMGENCategory_Num,1.90638,0.76993,4.28043,0
PDx_M70toM79,Other soft tissue disorders,Chp13_PDx,COMGENCategory_Num,0.83776,0.42126,1.54105,0
PDx_M65toM68,Disorders of synovium and tendon,Chp13_PDx,COMGENCategory_Num,1.21499,0.78897,1.80047,0
PDx_M60toM63,Disorders of muscles,Chp13_PDx,COMGENCategory_Num,1.5351,0.70924,3.05473,0
PDx_M50toM54,Other dorsopathies,Chp13_PDx,COMGENCategory_Num,0.80206,0.26894,2.12177,0
PDx_M45toM49,Spondylopathies,Chp13_PDx,COMGENCategory_Num,1.61364,0.51289,4.53509,0
PDx_M40toM43,Deforming dorsopathies,Chp13_PDx,COMGENCategory_Num,2.37762,0.99603,5.18245,0
PDx_M20toM25,Other joint disorders,Chp13_PDx,COMGENCategory_Num,1.4756,0.92225,2.261,0
PDx_M15toM19,Arthrosis,Chp13_PDx,COMGENCategory_Num,1.16977,0.29512,4.59816,0
PDx_M05toM14,Inflammatory polyarthropathies,Chp13_PDx,COMGENCategory_Num,1.33518,0.59976,2.70606,0
PDx_M00toM03,Infectious arthropathies,Chp13_PDx,COMGENCategory_Num,1.18643,0.54264,2.35858,0
PDx_L80toL99,Other disorders of the skin and subcutaneous tissue,Chp12_PDx,COMGENCategory_Num,1.49226,0.93177,2.29194,0
PDx_L60toL75,Disorders of skin appendages,Chp12_PDx,COMGENCategory_Num,0.65331,0.28917,1.31733,0
PDx_L55toL59,Radiation-related disorders of the skin and subcutaneous tissue,Chp12_PDx,COMGENCategory_Num,1.04601,0.32249,3.10947,0
PDx_L50toL54,Urticaria and erythema,Chp12_PDx,COMGENCategory_Num,0.91987,0.56049,1.43752,0
PDx_L40toL45,Papulosquamous disorders,Chp12_PDx,COMGENCategory_Num,2.25029,0.81396,5.69415,0
PDx_L20toL30,Dermatitis and eczema,Chp12_PDx,COMGENCategory_Num,1.4518,1.00912,2.03609,0
PDx_L10toL14,Bullous disorders,Chp12_PDx,COMGENCategory_Num,1.0115,0.26894,3.68305,0
PDx_L00toL08,Infections of the skin and subcutaneous tissue,Chp12_PDx,COMGENCategory_Num,1.4518,1.23522,1.69694,0
PDx_K90toK93,Other diseases of the digestive system,Chp11_PDx,COMGENCategory_Num,0.96747,0.58191,1.52201,0
PDx_K80toK87,"Disorders of gallbladder, biliary tract and pancreas",Chp11_PDx,COMGENCategory_Num,1.59817,0.5593,4.14834,0
PDx_K70toK77,Diseases of liver,Chp11_PDx,COMGENCategory_Num,0.85442,0.24276,2.76794,0
PDx_K65toK67,Diseases of peritoneum,Chp11_PDx,COMGENCategory_Num,1.07338,0.28084,3.92938,0
PDx_K55toK63,Other diseases of intestines,Chp11_PDx,COMGENCategory_Num,1.19238,0.89369,1.56485,0
PDx_K50toK52,Noninfective enteritis and colitis,Chp11_PDx,COMGENCategory_Num,0.71519,0.31297,1.46608,0
PDx_K40toK46,Hernia,Chp11_PDx,COMGENCategory_Num,1.20309,0.98889,1.45299,0
PDx_K35toK38,Diseases of appendix,Chp11_PDx,COMGENCategory_Num,1.28639,0.91035,1.77548,0
PDx_K20toK31,"Diseases of oesophagus, stomach and duodenum",Chp11_PDx,COMGENCategory_Num,1.20428,0.88655,1.60293,0
PDx_K00toK14,"Diseases of oral cavity, salivary glands and jaws",Chp11_PDx,COMGENCategory_Num,1.63268,1.48274,1.79571,0
PDx_J95toJ99,Other diseases of the respiratory system,Chp10_PDx,COMGENCategory_Num,1.03887,0.69258,1.50654,0
PDx_J90toJ94,Other diseases of pleura,Chp10_PDx,COMGENCategory_Num,1.40896,0.39865,4.66242,0
PDx_J85toJ86,Suppurative and necrotic conditions of lower respiratory tract,Chp10_PDx,COMGENCategory_Num,1.428,0.40341,4.66004,0
PDx_J80toJ84,Other respiratory diseases principally affecting the interstitium,Chp10_PDx,COMGENCategory_Num,1.9873,0.58786,6.27844,0
PDx_J60toJ70,Lung diseases due to external agents,Chp10_PDx,COMGENCategory_Num,0.78897,0.23086,2.43831,0
PDx_J40toJ47,Chronic lower respiratory diseases,Chp10_PDx,COMGENCategory_Num,1.18048,1.06981,1.29948,0
PDx_J30toJ39,Other diseases of upper respiratory tract,Chp10_PDx,COMGENCategory_Num,1.10075,0.99841,1.21142,0
PDx_J20toJ22,Other acute lower respiratory infections,Chp10_PDx,COMGENCategory_Num,1.37564,1.25664,1.50416,0
PDx_J10toJ18,Influenza and pneumonia,Chp10_PDx,COMGENCategory_Num,1.25783,1.10908,1.42086,0
PDx_J00toJ06,Acute upper respiratory infections,Chp10_PDx,COMGENCategory_Num,1.2376,1.12931,1.35422,0
PDx_I95toI99,Other and unspecified disorders of the circulatory system,Chp09_PDx,COMGENCategory_Num,1.61483,0.43673,5.66083,0
PDx_I80toI89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",Chp09_PDx,COMGENCategory_Num,1.3209,0.87703,1.92542,0
PDx_I70toI79,"Diseases of arteries, arterioles and capillaries",Chp09_PDx,COMGENCategory_Num,1.65648,0.52122,4.7124,0
PDx_I60toI69,Cerebrovascular diseases,Chp09_PDx,COMGENCategory_Num,1.2257,0.36533,3.69019,0
PDx_I30toI52,Other forms of heart disease,Chp09_PDx,COMGENCategory_Num,1.34827,0.54026,3.01427,0
PDx_I26toI28,Pulmonary heart disease and diseases of pulmonary circulation,Chp09_PDx,COMGENCategory_Num,1.14478,0.29155,4.42799,0
PDx_I10toI15,Hypertensive diseases,Chp09_PDx,COMGENCategory_Num,0.80444,0.23324,2.51328,0
PDx_I00toI02,Acute rheumatic fever,Chp09_PDx,COMGENCategory_Num,1.15192,0.29155,4.47083,0
PDx_H90toH95,Other disorders of ear,Chp08_PDx,COMGENCategory_Num,1.95041,1.24236,2.95715,0
PDx_H80toH83,Diseases of inner ear,Chp08_PDx,COMGENCategory_Num,0.79968,0.23205,2.49662,0
PDx_H65toH75,Diseases of middle ear and mastoid,Chp08_PDx,COMGENCategory_Num,1.54581,1.38873,1.71717,0
PDx_H60toH62,Diseases of external ear,Chp08_PDx,COMGENCategory_Num,1.25902,0.7021,2.12891,0
PDx_H55toH59,Other disorders of eye and adnexa,Chp07_PDx,COMGENCategory_Num,1.42324,0.51646,3.51645,0
PDx_H53toH54,Visual disturbances and blindness,Chp07_PDx,COMGENCategory_Num,1.14716,0.34867,3.39983,0
PDx_H49toH52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",Chp07_PDx,COMGENCategory_Num,1.0472,0.71162,1.49226,0
PDx_H46toH48,Disorders of optic nerve and visual pathways,Chp07_PDx,COMGENCategory_Num,1.56604,0.4284,5.35976,0
PDx_H43toH45,Disorders of vitreous body and globe,Chp07_PDx,COMGENCategory_Num,0.952,0.26061,3.25227,0
PDx_H40toH42,Glaucoma,Chp07_PDx,COMGENCategory_Num,0.90083,0.24871,3.09519,0
PDx_H30toH36,Disorders of choroid and retina,Chp07_PDx,COMGENCategory_Num,1.4994,0.4165,5.04798,0
PDx_H25toH28,Disorders of lens,Chp07_PDx,COMGENCategory_Num,0.92701,0.29512,2.65251,0
PDx_H15toH22,"Disorders of sclera, cornea, iris and ciliary body",Chp07_PDx,COMGENCategory_Num,2.00396,0.79135,4.68265,0
PDx_H10toH13,Disorders of conjunctiva,Chp07_PDx,COMGENCategory_Num,0.76993,0.28679,1.83141,0
PDx_H00toH06,"Disorders of eyelid, lacrimal system and orbit",Chp07_PDx,COMGENCategory_Num,1.20309,0.87346,1.62197,0
PDx_G90toG99,Other disorders of the nervous system,Chp06_PDx,COMGENCategory_Num,1.58865,0.65688,3.49265,0
PDx_G80toG83,Cerebral palsy and other paralytic syndromes,Chp06_PDx,COMGENCategory_Num,0.81753,0.23443,2.61205,0
PDx_G70toG73,Diseases of myoneural junction and muscle,Chp06_PDx,COMGENCategory_Num,1.05077,0.27727,3.77825,0
PDx_G60toG64,Polyneuropathies and other disorders of the peripheral nervous system,Chp06_PDx,COMGENCategory_Num,0.76755,0.2261,2.3324,0
PDx_G50toG59,"Nerve, nerve root and plexus disorders",Chp06_PDx,COMGENCategory_Num,1.07933,0.3332,3.1178,0
PDx_G40toG47,Episodic and paroxysmal disorders,Chp06_PDx,COMGENCategory_Num,1.36612,1.18405,1.56842,0
PDx_G20toG26,Extrapyramidal and movement disorders,Chp06_PDx,COMGENCategory_Num,2.95834,1.19119,6.7592,0
PDx_G10toG13,Systemic atrophies primarily affecting the central nervous system,Chp06_PDx,COMGENCategory_Num,0.93653,0.25823,3.14993,0
PDx_G00toG09,Inflammatory diseases of the central nervous system,Chp06_PDx,COMGENCategory_Num,1.07457,0.51765,2.04204,0
PDx_F99toF99,Unspecified mental disorder,Chp05_PDx,COMGENCategory_Num,1.13883,0.29036,4.38515,0
PDx_F90toF98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Chp05_PDx,COMGENCategory_Num,1.10908,0.50813,2.2015,0
PDx_F80toF89,Disorders of psychological development,Chp05_PDx,COMGENCategory_Num,3.26893,1.36493,7.31374,0
PDx_F70toF79,Mental retardation,Chp05_PDx,COMGENCategory_Num,1.76596,0.46172,6.50454,0
PDx_F60toF69,Disorders of adult personality and behaviour,Chp05_PDx,COMGENCategory_Num,1.17334,0.29512,4.62196,0
PDx_F50toF59,Behavioural syndromes associated with physiological disturbances and physical factors,Chp05_PDx,COMGENCategory_Num,0.56763,0.29155,1.0115,0
PDx_F40toF48,"Neurotic, stress-related and somatoform disorders",Chp05_PDx,COMGENCategory_Num,1.55533,0.49504,4.41371,0
PDx_F30toF39,Mood [affective] disorders,Chp05_PDx,COMGENCategory_Num,1.10313,0.28441,4.14477,0
PDx_F10toF19,Mental and behavioural disorders due to psychoactive substance use,Chp05_PDx,COMGENCategory_Num,0.98532,0.26537,3.5105,0
PDx_F00toF09,"Organic, including symptomatic, mental disorders",Chp05_PDx,COMGENCategory_Num,1.00079,0.26894,3.50098,0
PDx_E70toE89,Metabolic disorders,Chp04_PDx,COMGENCategory_Num,1.35303,0.8092,2.1539,0
PDx_E65toE68,Obesity and other hyperalimentation,Chp04_PDx,COMGENCategory_Num,1.88615,0.5712,5.6763,0
PDx_E50toE64,Other nutritional deficiencies,Chp04_PDx,COMGENCategory_Num,1.28758,0.46767,3.2606,0
PDx_E40toE46,Malnutrition,Chp04_PDx,COMGENCategory_Num,1.11265,0.28679,4.19356,0
PDx_E20toE35,Disorders of other endocrine glands,Chp04_PDx,COMGENCategory_Num,0.86037,0.36652,1.81356,0
PDx_E15toE16,Other disorders of glucose regulation and pancreatic internal secretion,Chp04_PDx,COMGENCategory_Num,0.64974,0.22848,1.61602,0
PDx_E00toE07,Disorders of thyroid gland,Chp04_PDx,COMGENCategory_Num,0.9044,0.25228,3.00118,0
PDx_D80toD89,Certain disorders involving the immune mechanism,Chp03_PDx,COMGENCategory_Num,1.03411,0.27251,3.80681,0
PDx_D70toD77,Other diseases of blood and blood-forming organs,Chp03_PDx,COMGENCategory_Num,1.70051,0.88536,3.11304,0
PDx_D65toD69,"Coagulation defects, purpura and other haemorrhagic conditions",Chp03_PDx,COMGENCategory_Num,1.38278,0.85442,2.14319,0
PDx_D60toD64,Aplastic and other anaemias,Chp03_PDx,COMGENCategory_Num,1.76715,0.71162,4.03291,0
PDx_D55toD59,Haemolytic anaemias,Chp03_PDx,COMGENCategory_Num,2.28004,0.98175,4.96468,0
PDx_D50toD53,Nutritional anaemias,Chp03_PDx,COMGENCategory_Num,1.49821,0.62356,3.28916,0
PDx_D37toD48,Neoplasms of uncertain or unknown behaviour,Chp02_PDx,COMGENCategory_Num,0.78183,0.26299,2.05989,0
PDx_D10toD36,Benign neoplasms,Chp02_PDx,COMGENCategory_Num,0.87346,0.62832,1.18286,0
PDx_D00toD09,In situ neoplasms,Chp02_PDx,COMGENCategory_Num,1.1543,0.29274,4.47559,0
PDx_C81toC96,"Malignant neoplasms of lymphoid, haematopoietic and related tissue",Chp02_PDx,COMGENCategory_Num,0.86275,0.36771,1.88615,0
PDx_C76toC80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",Chp02_PDx,COMGENCategory_Num,1.30305,0.37604,4.20308,0
PDx_C73toC75,Malignant neoplasms of thyroid and other endocrine glands,Chp02_PDx,COMGENCategory_Num,1.03411,0.2737,3.73065,0
PDx_C69toC72,"Malignant neoplasms of eye, brain and other parts of central nervous system",Chp02_PDx,COMGENCategory_Num,0.73066,0.21777,2.2134,0
PDx_C64toC68,Malignant neoplasms of urinary tract,Chp02_PDx,COMGENCategory_Num,0.70924,0.21182,2.16699,0
PDx_C60toC63,Malignant neoplasms of male genital organs,Chp02_PDx,COMGENCategory_Num,1.15906,0.29274,4.51962,0
PDx_C45toC49,Malignant neoplasms of mesothelial and soft tissue,Chp02_PDx,COMGENCategory_Num,1.77429,0.54026,5.38951,0
PDx_C43toC44,Melanoma and other malignant neoplasms of skin,Chp02_PDx,COMGENCategory_Num,1.5827,0.43078,5.51803,0
PDx_C40toC41,Malignant neoplasms of bone and articular cartilage,Chp02_PDx,COMGENCategory_Num,0.90083,0.2499,3.0583,0
PDx_C30toC39,Malignant neoplasms of respiratory and intrathoracic organs,Chp02_PDx,COMGENCategory_Num,0.95914,0.26061,3.35937,0
PDx_C15toC26,Malignant neoplasms of digestive organs,Chp02_PDx,COMGENCategory_Num,1.01388,0.27013,3.63307,0
PDx_B99toB99,Other infectious diseases,Chp01_PDx,COMGENCategory_Num,2.65013,0.833,7.75166,0
PDx_B95toB97,"Bacterial, viral and other infectious agents",Chp01_PDx,COMGENCategory_Num,2.19912,0.91868,4.85401,0
PDx_B85toB89,"Pediculosis, acariasis and other infestations",Chp01_PDx,COMGENCategory_Num,0.56168,0.20349,1.37683,0
PDx_B65toB83,Helminthiases,Chp01_PDx,COMGENCategory_Num,0.83657,0.23919,2.66322,0
PDx_B50toB64,Protozoal diseases,Chp01_PDx,COMGENCategory_Num,1.09242,0.28322,4.08646,0
PDx_B35toB49,Mycoses,Chp01_PDx,COMGENCategory_Num,1.2495,0.52479,2.73819,0
PDx_B25toB34,Other viral diseases,Chp01_PDx,COMGENCategory_Num,1.09956,0.97104,1.24117,0
PDx_B15toB19,Viral hepatitis,Chp01_PDx,COMGENCategory_Num,1.30424,0.37723,4.22093,0
PDx_B00toB09,Viral infections characterised by skin and mucous membrane lesions,Chp01_PDx,COMGENCategory_Num,1.22808,0.93891,1.58151,0
PDx_A90toA99,Arthropod-borne viral fevers and viral haemorrhagic fevers,Chp01_PDx,COMGENCategory_Num,1.11265,0.28679,4.20427,0
PDx_A80toA89,Viral infections of the central nervous system,Chp01_PDx,COMGENCategory_Num,1.56128,0.87465,2.63942,0
PDx_A75toA79,Rickettsioses,Chp01_PDx,COMGENCategory_Num,1.80285,0.46767,6.70208,0
PDx_A65toA69,Other spirochaetal diseases,Chp01_PDx,COMGENCategory_Num,1.11503,0.28679,4.20427,0
PDx_A50toA64,Infections with a predominantly sexual mode of transmission,Chp01_PDx,COMGENCategory_Num,1.06029,0.27846,3.89249,0
PDx_A30toA49,Other bacterial diseases,Chp01_PDx,COMGENCategory_Num,1.23165,0.88298,1.6779,0
PDx_A15toA19,Tuberculosis,Chp01_PDx,COMGENCategory_Num,1.09599,0.28322,4.13644,0
PDx_A00toA09,Intestinal infectious diseases,Chp01_PDx,COMGENCategory_Num,1.17453,1.07576,1.28044,0
PDx_T66toT78,Other and unspecified effects of external causes,Chp19_PDx,EMOTCategory_Num,1.42086,1.04006,1.90043,0
PDx_T51toT65,Toxic effects of substances chiefly nonmedicinal as to source,Chp19_PDx,EMOTCategory_Num,1.36017,0.85442,2.07655,0
PDx_T36toT50,"Poisoning by drugs, medicaments and biological substances",Chp19_PDx,EMOTCategory_Num,1.45418,1.07338,1.93256,0
PDx_T29toT31,Burns of multiple and unspecified body regions,Chp19_PDx,EMOTCategory_Num,0.9996,0.26775,3.54501,0
PDx_T26toT28,Burns of eye and internal organs,Chp19_PDx,EMOTCategory_Num,2.30146,0.74494,6.58308,0
PDx_T20toT25,"Burns of external body surface, specified by site",Chp19_PDx,EMOTCategory_Num,1.57675,1.21975,2.01229,0
PDx_T15toT19,Effects of foreign body entering through natural orifice,Chp19_PDx,EMOTCategory_Num,1.83379,1.42919,2.32169,0
PDx_T08toT14,"Injuries to unspecified part of trunk, limb or body region",Chp19_PDx,EMOTCategory_Num,0.7259,0.27608,1.68147,0
PDx_T00toT07,Injuries involving multiple body regions,Chp19_PDx,EMOTCategory_Num,1.56009,0.42602,5.3907,0
PDx_S90toS99,Injuries to the ankle and foot,Chp19_PDx,EMOTCategory_Num,1.20666,0.83776,1.6898,0
PDx_S80toS89,Injuries to the knee and lower leg,Chp19_PDx,EMOTCategory_Num,1.18643,0.83657,1.64101,0
PDx_S70toS79,Injuries to the hip and thigh,Chp19_PDx,EMOTCategory_Num,1.77548,1.20309,2.5466,0
PDx_S60toS69,Injuries to the wrist and hand,Chp19_PDx,EMOTCategory_Num,1.09718,0.86156,1.37921,0
PDx_S50toS59,Injuries to the elbow and forearm,Chp19_PDx,EMOTCategory_Num,1.23879,1.04244,1.4637,0
PDx_S40toS49,Injuries to the shoulder and upper arm,Chp19_PDx,EMOTCategory_Num,1.13407,0.87941,1.4399,0
PDx_S30toS39,"Injuries to the abdomen, lower back, lumbar spine and pelvis",Chp19_PDx,EMOTCategory_Num,1.36612,0.81634,2.17651,0
PDx_S20toS29,Injuries to the thorax,Chp19_PDx,EMOTCategory_Num,1.95874,0.84252,4.15548,0
PDx_S10toS19,Injuries to the neck,Chp19_PDx,EMOTCategory_Num,1.62078,0.8092,3.00356,0
PDx_S00toS09,Injuries to the head,Chp19_PDx,EMOTCategory_Num,1.45537,1.28044,1.64934,0
PDx_Q80toQ89,Other congenital malformations,Chp17_PDx,EMOTCategory_Num,1.18167,0.56763,2.2372,0
PDx_Q65toQ79,Congenital malformations and deformations of the musculoskeletal system,Chp17_PDx,EMOTCategory_Num,0.97223,0.57596,1.55295,0
PDx_Q60toQ64,Congenital malformations of the urinary system,Chp17_PDx,EMOTCategory_Num,1.01031,0.27013,3.55572,0
PDx_Q50toQ56,Congenital malformations of genital organs,Chp17_PDx,EMOTCategory_Num,1.16382,0.73542,1.76596,0
PDx_Q38toQ45,Other congenital malformations of the digestive system,Chp17_PDx,EMOTCategory_Num,0.9877,0.7378,1.29472,0
PDx_Q30toQ34,Congenital malformations of the respiratory system,Chp17_PDx,EMOTCategory_Num,1.68385,0.84252,3.11304,0
PDx_Q10toQ18,"Congenital malformations of eye, ear, face and neck",Chp17_PDx,EMOTCategory_Num,0.87822,0.56287,1.309,0
PDx_P90toP96,Other disorders originating in the perinatal period,Chp16_PDx,EMOTCategory_Num,0.96866,0.4879,1.76953,0
PDx_P80toP83,Conditions involving the integument and temperature regulation of fetus and newborn,Chp16_PDx,EMOTCategory_Num,1.15192,0.63903,1.94803,0
PDx_P75toP78,Digestive system disorders of fetus and newborn,Chp16_PDx,EMOTCategory_Num,1.08409,0.28203,4.03767,0
PDx_P70toP74,Transitory endocrine and metabolic disorders specific to fetus and newborn,Chp16_PDx,EMOTCategory_Num,1.73026,0.45577,6.28915,0
PDx_P50toP61,Haemorrhagic and haematological disorders of fetus and newborn,Chp16_PDx,EMOTCategory_Num,1.44942,0.40817,4.75762,0
PDx_P35toP39,Infections specific to the perinatal period,Chp16_PDx,EMOTCategory_Num,0.99841,0.26656,3.56762,0
PDx_P20toP29,Respiratory and cardiovascular disorders specific to the perinatal period,Chp16_PDx,EMOTCategory_Num,1.04839,0.40698,2.38952,0
PDx_P10toP15,Birth trauma,Chp16_PDx,EMOTCategory_Num,1.12574,0.28798,4.28281,0
PDx_P05toP08,Disorders related to length of gestation and fetal growth,Chp16_PDx,EMOTCategory_Num,1.09718,0.28441,4.09479,0
PDx_P00toP04,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Chp16_PDx,EMOTCategory_Num,1.1424,0.29036,4.41014,0
PDx_N99toN99,Other disorders of genitourinary tract,Chp14_PDx,EMOTCategory_Num,0.714,0.21539,2.12058,0
PDx_N80toN98,Noninflammatory disorders of female genital tract,Chp14_PDx,EMOTCategory_Num,0.91154,0.25466,2.96429,0
PDx_N70toN77,Inflammatory diseases of female pelvic organs,Chp14_PDx,EMOTCategory_Num,1.17929,0.357,3.44148,0
PDx_N60toN64,Disorders of breast,Chp14_PDx,EMOTCategory_Num,0.99008,0.31297,2.78698,0
PDx_N40toN51,Diseases of male genital organs,Chp14_PDx,EMOTCategory_Num,1.19238,1.00436,1.40539,0
PDx_N30toN39,Other diseases of urinary system,Chp14_PDx,EMOTCategory_Num,1.2852,1.02816,1.58865,0
PDx_N25toN29,Other disorders of kidney and ureter,Chp14_PDx,EMOTCategory_Num,1.03173,0.32487,2.89765,0
PDx_N20toN23,Urolithiasis,Chp14_PDx,EMOTCategory_Num,1.37207,0.3927,4.41609,0
PDx_N17toN19,Renal failure,Chp14_PDx,EMOTCategory_Num,1.04958,0.27608,3.79372,0
PDx_N10toN16,Renal tubulo-interstitial diseases,Chp14_PDx,EMOTCategory_Num,1.0353,0.55454,1.78976,0
PDx_N00toN08,Glomerular diseases,Chp14_PDx,EMOTCategory_Num,0.56287,0.20349,1.37326,0
PDx_M91toM94,Chondropathies,Chp13_PDx,EMOTCategory_Num,1.0115,0.31773,2.87623,0
PDx_M86toM90,Other osteopathies,Chp13_PDx,EMOTCategory_Num,1.32685,0.67711,2.40261,0
